time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
11035.654346,10845.485646,51,0,0,,,,,,,,,,,,,283,130
78707.526442,76023.894982,99,1,50,0.0,0,0,,,,0.0,0,0,,,,405,133
