time_elapsed,pc_cov_cnt
0.0,2544
0.004000186920166016,2545
0.07200431823730469,3344
0.13600802421569824,3344
0.1480088233947754,3401
0.1520090103149414,3401
0.16400980949401855,3401
0.1760106086730957,3401
0.19201135635375977,3401
0.2000119686126709,3401
0.43602609634399414,3500
0.44002628326416016,3600
0.4520270824432373,3600
0.5080304145812988,3600
0.636038064956665,3675
0.6440386772155762,3698
0.6480388641357422,3744
0.73604416847229,3751
0.9280557632446289,3756
0.9960598945617676,3756
1.0040602684020996,3774
1.0120606422424316,3777
1.0280616283416748,3779
1.0600636005401611,3824
1.1160669326782227,3833
1.1320679187774658,3837
1.1600697040557861,3846
1.2080724239349365,3851
1.2880773544311523,3866
1.3480808734893799,3874
1.460087776184082,3874
1.468088150024414,3893
1.4920895099639893,3897
1.6841011047363281,3897
1.7281038761138916,3899
1.8081085681915283,3899
1.880112886428833,3902
1.9001140594482422,3904
1.9121148586273193,3906
1.9401164054870605,3907
2.0441226959228516,3908
2.1321280002593994,3910
2.300138235092163,3912
2.696161985397339,3924
2.704162359237671,3927
2.8361704349517822,3929
2.9761788845062256,3957
3.036182403564453,3958
3.104186534881592,3962
3.4042046070098877,3964
3.6122169494628906,3966
3.8122289180755615,3966
4.384263515472412,3966
5.096306085586548,3967
5.828350067138672,3969
6.572394847869873,3971
6.696402311325073,3972
9.080545663833618,3978
10.160610437393188,3979
10.49263048171997,3980
10.976659536361694,3991
11.800709009170532,3992
13.616817951202393,3994
13.644819736480713,3996
17.63305926322937,3996
17.769067525863647,3997
18.42510676383972,4001
18.937137603759766,4025
20.345222234725952,4029
21.393285036087036,4031
23.27339792251587,4033
30.329821586608887,4034
33.97004008293152,4046
34.022043228149414,4048
36.47419023513794,4053
37.31424069404602,4054
39.04234433174133,4055
39.33836221694946,4058
43.11458873748779,4059
68.31609988212585,4061
68.7041232585907,4063
70.42822647094727,4065
76.83261013031006,4065
83.16498947143555,4066
84.56907367706299,4067
85.83314943313599,4067
85.85715079307556,4067
86.32517886161804,4067
91.47748732566833,4067
112.65876531600952,4067
143.59710550308228,4068
158.46622037887573,4069
174.24339652061462,4071
214.60637617111206,4072
264.1099760532379,4074
294.2801425457001,4079
300.1965651512146,4081
300.6485974788666,4118
388.2787742614746,4120
400.4316198825836,4129
405.599978685379,4130
458.6276342868805,4130
603.8134346008301,4136
640.1118440628052,4137
650.70454454422,4138
1223.3091447353363,4147
1342.1925451755524,4148
1883.4418532848358,4149
1911.6475780010223,4150
1965.5548725128174,4159
2055.712377309799,4160
3540.0070073604584,4161
3722.230295419693,4174
8967.714531183243,4174
11006.061606407166,4176
11052.872527599335,4180
68793.33429694176,4192
68844.48548102379,4193
69069.36347913742,4195
69108.22589850426,4204
69790.90439391136,4205
69806.94139170647,4215
69819.93820047379,4216
70811.93193817139,4223
