time_elapsed,pc_cov_cnt
0.0,1826
10.4166259765625,1826
10.496630907058716,1826
10.572635412216187,1826
10.644639730453491,1826
10.720644235610962,1826
10.796648740768433,1826
10.872653484344482,1826
10.940657377243042,1826
11.012661933898926,1826
11.08466625213623,1826
11.120668411254883,1826
11.124668598175049,1826
11.168671131134033,1826
11.248676061630249,1826
11.328680753707886,1826
12.608757734298706,1826
13.43680739402771,1840
13.472809553146362,1840
13.51281189918518,1840
13.796828985214233,1842
13.800829410552979,1844
13.816830158233643,1846
14.872893810272217,1848
17.48105025291443,1849
18.08108639717102,1849
19.825191020965576,1849
20.533233642578125,1856
21.577296257019043,1856
23.705424070358276,1856
23.789429187774658,1856
24.861493587493896,1857
24.985501050949097,1859
25.49753165245056,1873
26.76960802078247,1873
28.189693212509155,1873
29.621779203414917,1873
33.77802872657776,1873
33.85403323173523,1874
40.722445487976074,1876
40.80245018005371,1876
42.05852556228638,1880
42.43854832649231,1880
46.82281136512756,1880
46.90281629562378,1880
52.59915781021118,1897
52.67516231536865,1897
53.887235164642334,1899
54.59127736091614,1899
56.95141887664795,1903
57.71546459197998,1903
57.84347224235535,1904
59.19155311584473,1906
61.86771368980408,1906
62.82377099990845,1906
63.6878228187561,1906
66.90401554107666,1906
67.16003084182739,1908
69.18815231323242,1908
70.82425045967102,1908
72.02832269668579,1908
72.75636625289917,1908
72.97237920761108,1910
73.4484076499939,1910
74.06444454193115,1914
74.50847125053406,1914
74.76848673820496,1917
76.80060863494873,1921
82.58895540237427,1922
83.19299149513245,1923
83.92903566360474,1925
84.90509414672852,1949
86.39718341827393,1950
86.62119674682617,1951
88.5133101940155,1952
88.88933253288269,1953
94.68567967414856,1953
95.16570854187012,1957
95.24571323394775,1966
95.32971835136414,1977
97.60985469818115,1977
105.01429796218872,1977
106.29837489128113,1977
112.33073663711548,1977
113.80284762382507,1979
116.56305742263794,1979
117.25911045074463,1979
118.57120990753174,1979
120.83538174629211,1979
121.73545002937317,1980
122.0314724445343,1981
141.80496621131897,1981
141.88897252082825,1981
142.35300731658936,1981
144.1051390171051,1981
146.4453148841858,2002
146.497318983078,2002
150.72963666915894,2002
160.86639547348022,2003
163.65460348129272,2004
167.89491987228394,2004
169.89906907081604,2005
170.66712641716003,2005
173.30332255363464,2005
174.94344449043274,2005
182.14797925949097,2007
183.11205077171326,2007
184.94818687438965,2011
194.46089029312134,2011
194.6569046974182,2015
196.16501593589783,2016
200.76535511016846,2017
201.29739427566528,2017
213.35428047180176,2017
221.15085172653198,2019
221.23885798454285,2019
229.18743872642517,2033
230.7675540447235,2036
231.4076006412506,2037
238.4281120300293,2073
238.44811344146729,2073
240.86428904533386,2073
245.80464792251587,2074
258.5775728225708,2074
263.56593322753906,2090
270.7104482650757,2091
273.9986848831177,2092
285.81153297424316,2094
293.72009921073914,2094
298.2084197998047,2095
299.3325002193451,2095
308.5811595916748,2096
314.281564950943,2096
319.34992504119873,2096
319.869961977005,2097
325.8423852920532,2097
340.9994568824768,2097
353.36432790756226,2098
361.0648686885834,2099
373.8297629356384,2099
373.92176938056946,2099
394.17118191719055,2100
396.85936880111694,2117
396.9233732223511,2124
399.0155186653137,2125
420.6690194606781,2128
420.8690333366394,2156
434.9860074520111,2158
436.22609281539917,2159
439.8543426990509,2160
455.0473864078522,2160
492.5779495239258,2161
505.5388298034668,2161
507.954993724823,2161
542.4813265800476,2163
569.10311460495,2164
596.8369681835175,2168
600.2131931781769,2172
600.237194776535,2178
600.4372079372406,2178
610.0858502388,2179
623.7307567596436,2181
646.1122393608093,2183
671.49791431427,2183
701.479884147644,2183
702.9919834136963,2185
749.5310237407684,2185
767.9362206459045,2186
770.4043810367584,2187
771.9364805221558,2187
772.068489074707,2192
806.1386966705322,2203
839.3968427181244,2203
906.1611270904541,2206
912.4375283718109,2208
1121.9587972164154,2208
1245.7385437488556,2211
1249.1027536392212,2213
1300.7579703330994,2214
1435.7943437099457,2215
1540.6968190670013,2216
1541.012838602066,2218
1585.4835772514343,2218
1599.5004398822784,2220
1849.4837756156921,2220
1898.3827667236328,2221
2117.000116109848,2221
2186.472544670105,2222
2191.3128745555878,2223
2203.2856891155243,2224
2325.597915649414,2225
3546.7354242801666,2228
3975.3619413375854,2228
3990.4628739356995,2228
4007.0078954696655,2228
4226.913530349731,2234
4255.839412927628,2235
5056.186232328415,2235
5144.243740081787,2235
5173.94159579277,2235
5175.161672115326,2235
5203.599447965622,2235
6975.234272003174,2235
7031.669806957245,2236
7031.765813112259,2236
8146.111357212067,2238
8197.134536027908,2238
8197.802577733994,2239
8240.329227209091,2239
8298.012820720673,2240
9330.461119174957,2241
9498.04755449295,2243
9783.209310770035,2244
9946.419473409653,2245
10169.141341209412,2245
10612.30501461029,2248
10721.36383008957,2249
11529.046226024628,2249
12014.708500862122,2250
12147.272763252258,2255
12218.125179052353,2255
12502.254873275757,2256
12961.111429214478,2256
13660.122961997986,2257
14296.43460059166,2259
19437.530576229095,2260
20859.495049476624,2261
23255.324125289917,2262
28853.07674431801,2262
29646.10204911232,2263
31865.96423149109,2265
32477.770318984985,2266
33619.30540275574,2267
37366.68671345711,2270
37598.07711672783,2272
38837.602281332016,2274
38878.91285324097,2276
51106.22913622856,2276
60386.27894258499,2276
62891.4948489666,2276
