time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
14.390859,7.946148,84,0,0,,,,,,,,,,,,,1156,559
37.521366,31.072784,84,1,20,,,,,,,,,,,,,1156,559
60.07953,53.628889,84,1,40,,,,,,,,,,,,,1156,559
73.180032,66.729285,84,1,40,39.795918367346935,,,100.0,,,0.0,,,0.0,,,1156,559
106.723102,100.269945,84,1,60,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1156,559
120.108777,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
180.196306,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
240.183816,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
300.202215,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
360.355293,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
420.379107,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
480.275474,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
540.29797,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
600.402191,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
660.566177,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
720.606734,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
780.631279,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
840.670234,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
900.723263,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
960.697984,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1020.625584,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1080.825555,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1140.627199,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1200.709348,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1260.891813,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1320.909772,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1381.010243,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1440.891405,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
1501.02971,100.269945,87,1,80,42.7536231884058,,,100.0,,,0.0,,,0.0,,,1163,559
